Tag,Count,Unique Tokens
NN,30544,5091
NNP,2719,121
RB,158,78
JJ,6279,1670
FW,382,125
VBZ,835,251
CD,2318,466
VBD,1092,422
IN,330,97
NNS,1924,280
VBP,1587,583
WRB,7,5
VB,229,78
PRP$,31,4
MD,12,5
VBN,66,22
CC,40,11
DT,100,9
PRP,16,4
TO,28,1
VBG,240,64
WP,82,6
JJS,9,2
PDT,2,1
RBS,4,4
JJR,9,5
RP,7,3
RBR,7,1
