link,judul,tanggal,portal
https://www.tangerangkota.go.id/berita/detail/28421/pemkot-lakukan-pemasangan-339-qr-code-peduli-lindungi,Pemkot Lakukan Pemasangan 339 QR Code Peduli Lindungi,2021-10-28,Kota Tangerang
https://radarbanyuwangi.jawapos.com/edukasi/75899154/sman-1-situbondo-terapkan-aplikasi-peduli-lindungi,SMAN 1 Situbondo Terapkan Aplikasi Peduli Lindungi - Radar Banyuwangi,2021-10-27,Radar Banyuwangi
https://www.tangerangkota.go.id/berita/detail/28381/disbudpar-monitoring-penggunaan-aplikasi-peduli-lindungi-di-perhotelan,Disbudpar Monitoring Penggunaan Aplikasi Peduli Lindungi di Perhotelan,2021-10-26,Kota Tangerang
https://jatim.tribunnews.com/2021/10/26/destinasi-wisata-di-sampang-dibuka-bersyarat-ada-kendala-penerapan-peduli-lindungi,"Destinasi Wisata di Sampang Dibuka Bersyarat, Ada Kendala Penerapan Peduli Lindungi",2021-10-26,Tribunjatim.com
https://beritajatim.com/dibuka-kembali-gor-jayabaya-kota-kediri-terapkan-aplikasi-peduli-lindungi,"Dibuka Kembali, GOR Jayabaya Kota Kediri Terapkan Aplikasi Peduli Lindungi",2021-10-26,beritajatim.com
https://dialeksis.com/aceh/butuh-pelayanan-di-polresta-banda-aceh-jangan-lupa-siapkan-aplikasi-pedulilindungi/,"Butuh Pelayanan di Polresta Banda Aceh, Jangan Lupa Siapkan Aplikasi PeduliLindungi »",2021-10-17,Dialeksis.com
https://seputarperak.com/baca-25792-sosialisasi-aplikasi-peduli-lindungi-terus-digalakkan-polsek-krembangan,SOSIALISASI APLIKASI PEDULI LINDUNGI TERUS DIGALAKKAN POLSEK KREMBANGAN,2021-10-15,Polres Pelabuhan Tanjung Perak
https://jamberita.com/read/2021/10/15/5970010/segera-aplikasi-peduli-lindungi-di-kantor-opd-lingkungan-pemkot-jambi,OPD Pemkot Jambi Segera Berlakukan Aplikasi PeduliLindungi,2021-10-15,jamberita.com
https://kemenag.go.id/nasional/kemenag-dan-kemenkes-matangkan-konsep-integrasi-siskopatuh-dan-peduli-lindungi-2rgrgx,Kemenag dan Kemenkes Matangkan Konsep Integrasi Siskopatuh dan Peduli Lindungi,2021-10-14,Kementerian Agama RI
https://www.cnbcindonesia.com/tech/20211013154950-37-283660/pedulilindungi-tak-cuma-sertifikat-vaksin-cek-fitur-ini,"PeduliLindungi Tak Cuma Sertifikat Vaksin, Cek Fitur Ini!",2021-10-13,CNBC Indonesia
https://www.perhutani.co.id/perhutani-siapkan-aplikasi-peduli-lindungi-pada-lokasi-wisata-di-jatim/,Perhutani Siapkan Aplikasi Peduli Lindungi Pada Lokasi Wisata di Jatim,2021-10-13,Perhutani
